mqtt.js:5 s1: {"acc_x":-5.901707172,"acc_y":0.81642276,"acc_z":9.284713745,"rot_x":0.956866801,"rot_y":-1.038137794,"rot_z":0.136695251}
mqtt.js:5 s1: {"acc_x":-1.685518026,"acc_y":0.234631762,"acc_z":7.91762495,"rot_x":0.097791731,"rot_y":0.081803977,"rot_z":3.72834301}
mqtt.js:5 s1: {"acc_x":-2.061407566,"acc_y":-0.397437483,"acc_z":8.894459724,"rot_x":0.680811644,"rot_y":0.894248068,"rot_z":2.828765631}
mqtt.js:5 s1: {"acc_x":-1.544260144,"acc_y":0.555454791,"acc_z":10.09874249,"rot_x":0.403157741,"rot_y":0.590214431,"rot_z":2.753090382}
mqtt.js:5 s1: {"acc_x":-0.620098233,"acc_y":-0.181959331,"acc_z":9.351752281,"rot_x":0.594744265,"rot_y":0.135096475,"rot_z":2.755222082}
mqtt.js:5 s1: {"acc_x":1.364694953,"acc_y":0.201112941,"acc_z":8.865729332,"rot_x":0.318689138,"rot_y":0.485494643,"rot_z":1.362422585}
mqtt.js:5 s1: {"acc_x":1.865083098,"acc_y":0.955286503,"acc_z":8.279149055,"rot_x":0.066882081,"rot_y":0.689071953,"rot_z":0.654698312}
mqtt.js:5 s1: {"acc_x":2.087743998,"acc_y":2.772485495,"acc_z":8.288725853,"rot_x":-0.496686071,"rot_y":1.323785543,"rot_z":0.085800916}
mqtt.js:5 s1: {"acc_x":-0.378283858,"acc_y":0.782903969,"acc_z":10.69489861,"rot_x":-0.931286395,"rot_y":1.787430406,"rot_z":-0.221963242}
mqtt.js:5 s1: {"acc_x":0.117315881,"acc_y":1.553836942,"acc_z":11.19289303,"rot_x":-0.778869808,"rot_y":1.016287923,"rot_z":0.065016843}
mqtt.js:5 s1: {"acc_x":1.587355733,"acc_y":3.138798475,"acc_z":9.275136948,"rot_x":-0.575825453,"rot_y":0.282983154,"rot_z":0.500949442}
mqtt.js:5 s1: {"acc_x":2.152387381,"acc_y":3.663128614,"acc_z":8.485051155,"rot_x":-0.045565084,"rot_y":0.548379779,"rot_z":0.27738744}
mqtt.js:5 s1: {"acc_x":1.63763392,"acc_y":4.484339714,"acc_z":8.566453934,"rot_x":0.174266458,"rot_y":0.074875958,"rot_z":0.312294006}
mqtt.js:5 s1: {"acc_x":0.591367841,"acc_y":4.304774761,"acc_z":8.303091049,"rot_x":-0.027179174,"rot_y":-0.148952529,"rot_z":0.352263391}
mqtt.js:5 s1: {"acc_x":0.01436521,"acc_y":4.668693542,"acc_z":9.512163162,"rot_x":-0.244346097,"rot_y":0.25660339,"rot_z":0.178796321}
mqtt.js:5 s1: {"acc_x":-0.021547815,"acc_y":4.30956316,"acc_z":10.26154804,"rot_x":-0.393831551,"rot_y":0.095660031,"rot_z":0.34799999}
mqtt.js:5 s1: {"acc_x":-0.169988319,"acc_y":5.738901615,"acc_z":10.71165848,"rot_x":0.743430316,"rot_y":0.005062787,"rot_z":1.114612579}
mqtt.js:5 s1: {"acc_x":-0.395043284,"acc_y":5.164293289,"acc_z":9.576807022,"rot_x":0.581421137,"rot_y":0.054624807,"rot_z":1.127935648}
mqtt.js:5 s1: {"acc_x":-1.460463047,"acc_y":4.57771349,"acc_z":8.987833023,"rot_x":0.160676882,"rot_y":0.005595712,"rot_z":0.667488515}
mqtt.js:5 s1: {"acc_x":-0.380678058,"acc_y":4.27125597,"acc_z":9.325415611,"rot_x":-0.22596018,"rot_y":0.036771823,"rot_z":0.831895888}
mqtt.js:5 s1: {"acc_x":0.158017308,"acc_y":3.246537447,"acc_z":9.021351814,"rot_x":-0.042367533,"rot_y":-0.447656959,"rot_z":0.859341502}
mqtt.js:5 s1: {"acc_x":-0.689530075,"acc_y":1.884236693,"acc_z":7.87931776,"rot_x":0.257136285,"rot_y":-0.057022974,"rot_z":-0.023448698}
mqtt.js:5 s1: {"acc_x":0.833182216,"acc_y":1.043871999,"acc_z":7.706935406,"rot_x":-0.374379784,"rot_y":-0.538520634,"rot_z":-0.483362943}
mqtt.js:5 s1: {"acc_x":-1.048660398,"acc_y":1.606509328,"acc_z":6.823474884,"rot_x":-0.77807045,"rot_y":-0.609399676,"rot_z":-0.556906581}
mqtt.js:5 s1: {"acc_x":-1.556231141,"acc_y":1.508347034,"acc_z":7.771578789,"rot_x":-0.248609498,"rot_y":0.508943319,"rot_z":-0.525463998}
mqtt.js:5 s1: {"acc_x":-1.654393315,"acc_y":0.225054964,"acc_z":9.497797966,"rot_x":-0.759950995,"rot_y":0.666689157,"rot_z":-0.162808567}
mqtt.js:5 s1: {"acc_x":-0.51954174,"acc_y":1.194706678,"acc_z":10.3309803,"rot_x":-0.979516089,"rot_y":-0.402891248,"rot_z":0.238483921}
mqtt.js:5 s1: {"acc_x":1.010353088,"acc_y":0.150834709,"acc_z":8.927978516,"rot_x":-1.654465556,"rot_y":-1.072245002,"rot_z":0.024248086}
mqtt.js:5 s1: {"acc_x":0.735019922,"acc_y":-0.177170932,"acc_z":9.246406555,"rot_x":-1.939047456,"rot_y":-0.700796306,"rot_z":-0.434866786}
mqtt.js:5 s1: {"acc_x":1.697489023,"acc_y":-0.122104287,"acc_z":11.0133276,"rot_x":-1.288612604,"rot_y":-0.14388974,"rot_z":-0.357059717}
mqtt.js:5 s1: {"acc_x":0.701501071,"acc_y":-1.065419793,"acc_z":9.957485199,"rot_x":-0.931286395,"rot_y":0.248343036,"rot_z":-0.075142421}
mqtt.js:5 s1: {"acc_x":0.888248801,"acc_y":-1.280897856,"acc_z":9.907206535,"rot_x":-0.41141808,"rot_y":0.499883622,"rot_z":-0.393032134}
mqtt.js:5 s1: {"acc_x":0.651222885,"acc_y":-0.490811348,"acc_z":10.20887566,"rot_x":-0.190787122,"rot_y":0.396496177,"rot_z":-0.588882089}
mqtt.js:5 s1: {"acc_x":1.106121182,"acc_y":-1.000776291,"acc_z":9.981427193,"rot_x":-0.595010698,"rot_y":-0.83109647,"rot_z":-0.634180665}
mqtt.js:5 s1: {"acc_x":1.774103403,"acc_y":-1.015141487,"acc_z":9.203310966,"rot_x":-0.687473178,"rot_y":-0.829764128,"rot_z":-0.754888177}
mqtt.js:5 s1: {"acc_x":2.885013103,"acc_y":-1.517923832,"acc_z":9.038111687,"rot_x":-0.552110255,"rot_y":-1.00562942,"rot_z":-0.643240392}
mqtt.js:5 s1: {"acc_x":3.694253206,"acc_y":-1.735796213,"acc_z":8.4012537,"rot_x":-0.348799407,"rot_y":-1.161776423,"rot_z":-0.289378256}
mqtt.js:5 s1: {"acc_x":3.289633036,"acc_y":-2.212242365,"acc_z":9.679757118,"rot_x":-0.207041353,"rot_y":-0.527062774,"rot_z":-0.22702603}
mqtt.js:5 s1: {"acc_x":3.287238836,"acc_y":-2.772485495,"acc_z":9.923966408,"rot_x":-0.300836146,"rot_y":-0.540918827,"rot_z":-0.65656352}
mqtt.js:5 s1: {"acc_x":3.938461781,"acc_y":-3.761290789,"acc_z":9.107542992,"rot_x":-0.200646251,"rot_y":0.273923427,"rot_z":-1.023748875}
mqtt.js:5 s1: {"acc_x":5.595249176,"acc_y":-3.385401249,"acc_z":8.485051155,"rot_x":-0.098857582,"rot_y":1.148186922,"rot_z":-1.16977036}
mqtt.js:5 s1: {"acc_x":4.027047157,"acc_y":-2.30801034,"acc_z":9.222464561,"rot_x":0.119908117,"rot_y":0.68560797,"rot_z":-0.486027569}
mqtt.js:5 s1: {"acc_x":3.404554844,"acc_y":-1.489193439,"acc_z":10.83855152,"rot_x":-0.200113311,"rot_y":0.23635222,"rot_z":-0.979782522}
mqtt.js:5 s1: {"acc_x":4.213795185,"acc_y":-2.518700123,"acc_z":10.17296314,"rot_x":-0.57342726,"rot_y":0.228091896,"rot_z":-0.784998477}
mqtt.js:5 s1: {"acc_x":4.189853191,"acc_y":-3.315969467,"acc_z":9.279925346,"rot_x":-0.961396635,"rot_y":-0.328548223,"rot_z":-0.815375149}
mqtt.js:5 s1: {"acc_x":4.381389141,"acc_y":-3.201047659,"acc_z":8.55448246,"rot_x":-0.818039775,"rot_y":0.031176111,"rot_z":-0.773007691}
mqtt.js:5 s1: {"acc_x":3.97676897,"acc_y":-2.794033289,"acc_z":8.566453934,"rot_x":-0.70532614,"rot_y":0.074875958,"rot_z":-0.672018409}
mqtt.js:5 s1: {"acc_x":3.60566783,"acc_y":-2.56897831,"acc_z":8.564059258,"rot_x":-0.670952559,"rot_y":0.03011026,"rot_z":-0.6056692}
mqtt.js:5 s1: {"acc_x":3.773261786,"acc_y":-2.640804529,"acc_z":8.283937454,"rot_x":-0.624055147,"rot_y":-0.062885143,"rot_z":-0.776205182}
mqtt.js:5 s1: {"acc_x":4.582501888,"acc_y":-2.602497339,"acc_z":7.84340477,"rot_x":-0.392232746,"rot_y":-0.120973967,"rot_z":-0.69599998}
mqtt.js:5 s1: {"acc_x":4.661510944,"acc_y":-2.841917515,"acc_z":7.783549786,"rot_x":-0.163607955,"rot_y":0.130033687,"rot_z":-0.433534473}
mqtt.js:5 s1: {"acc_x":4.477157116,"acc_y":-2.908955097,"acc_z":8.099584579,"rot_x":-0.01385605,"rot_y":0.385837674,"rot_z":-0.373313934}
mqtt.js:5 s1: {"acc_x":4.604049683,"acc_y":-2.79163909,"acc_z":8.595184326,"rot_x":0.028511487,"rot_y":0.377577305,"rot_z":-0.401026011}
mqtt.js:5 s1: {"acc_x":4.489128113,"acc_y":-2.82036972,"acc_z":8.920795441,"rot_x":-0.123905048,"rot_y":0.308297068,"rot_z":-0.426606447}
mqtt.js:5 s1: {"acc_x":4.340687752,"acc_y":-2.705447912,"acc_z":8.659827232,"rot_x":-0.156413481,"rot_y":0.231555894,"rot_z":-0.520667672}
mqtt.js:5 s1: {"acc_x":4.350264549,"acc_y":-2.547430515,"acc_z":8.513781548,"rot_x":-0.118309341,"rot_y":0.053558957,"rot_z":-0.474569678}
mqtt.js:5 s1: {"acc_x":4.254496574,"acc_y":-2.607285738,"acc_z":8.501810074,"rot_x":-0.033840735,"rot_y":0.081803977,"rot_z":-0.353862166}
mqtt.js:5 s1: {"acc_x":4.13239193,"acc_y":-2.619256735,"acc_z":8.722076416,"rot_x":0.02158346,"rot_y":0.189188361,"rot_z":-0.323218971}
mqtt.js:5 s1: {"acc_x":4.074931145,"acc_y":-2.609679937,"acc_z":8.894459724,"rot_x":0.080471672,"rot_y":0.179329246,"rot_z":-0.305898935}
mqtt.js:5 s1: {"acc_x":4.089296341,"acc_y":-2.504334927,"acc_z":9.430760384,"rot_x":0.009859112,"rot_y":0.225693718,"rot_z":-0.355194479}
mqtt.js:5 s1: {"acc_x":4.173093796,"acc_y":-2.525882721,"acc_z":9.246406555,"rot_x":-0.174799383,"rot_y":0.15481469,"rot_z":-0.394630939}
mqtt.js:5 s1: {"acc_x":4.077325344,"acc_y":-2.540247917,"acc_z":8.920795441,"rot_x":-0.213969365,"rot_y":0.115111791,"rot_z":-0.405822366}
mqtt.js:5 s1: {"acc_x":4.149151325,"acc_y":-2.353500366,"acc_z":8.963891029,"rot_x":-0.219032168,"rot_y":0.20411025,"rot_z":-0.413549751}
mqtt.js:5 s1: {"acc_x":4.290409565,"acc_y":-2.166752577,"acc_z":8.942343712,"rot_x":-0.187056661,"rot_y":0.214235827,"rot_z":-0.365586549}
mqtt.js:5 s1: {"acc_x":4.635174274,"acc_y":-2.035071373,"acc_z":9.004592896,"rot_x":-0.146820813,"rot_y":0.168404296,"rot_z":-0.274722815}
mqtt.js:5 s1: {"acc_x":4.450820923,"acc_y":-1.972822189,"acc_z":8.738836288,"rot_x":-0.073810108,"rot_y":0.235819295,"rot_z":-0.139093414}
mqtt.js:5 s1: {"acc_x":4.730942726,"acc_y":-1.766920805,"acc_z":8.750806808,"rot_x":0.088732004,"rot_y":0.252073497,"rot_z":-0.106052071}
mqtt.js:5 s1: {"acc_x":4.374206543,"acc_y":-1.740584612,"acc_z":8.858546257,"rot_x":0.25660339,"rot_y":0.222496167,"rot_z":-0.014388974}
mqtt.js:5 s1: {"acc_x":3.809175014,"acc_y":-1.630451322,"acc_z":8.978256226,"rot_x":0.371182233,"rot_y":0.088732004,"rot_z":-0.302168459}
mqtt.js:5 s1: {"acc_x":3.572149038,"acc_y":-1.431732655,"acc_z":8.643068314,"rot_x":0.286447167,"rot_y":-0.357592642,"rot_z":-0.44152835}
mqtt.js:5 s1: {"acc_x":3.514688015,"acc_y":-1.110909581,"acc_z":8.415618896,"rot_x":0.356793284,"rot_y":-0.196915776,"rot_z":-0.587016821}
mqtt.js:5 s1: {"acc_x":3.088520288,"acc_y":-1.031900883,"acc_z":7.936778545,"rot_x":0.49029094,"rot_y":0.088998467,"rot_z":-0.956333816}
mqtt.js:5 s1: {"acc_x":3.909731388,"acc_y":-0.114921682,"acc_z":8.463502884,"rot_x":0.663491547,"rot_y":-0.123105668,"rot_z":-1.210006118}
mqtt.js:5 s1: {"acc_x":3.828328609,"acc_y":0.181959331,"acc_z":8.678980827,"rot_x":0.779935658,"rot_y":-0.205975503,"rot_z":-0.831629395}
mqtt.js:5 s1: {"acc_x":3.883395195,"acc_y":0.646434486,"acc_z":9.92636013,"rot_x":0.807914257,"rot_y":0.640309334,"rot_z":-0.88918525}
mqtt.js:5 s1: {"acc_x":3.452438831,"acc_y":0.92895025,"acc_z":10.31900978,"rot_x":0.368517607,"rot_y":0.994970918,"rot_z":-0.628584981}
mqtt.js:5 s1: {"acc_x":2.480392933,"acc_y":0.962469101,"acc_z":10.70687008,"rot_x":0.019718224,"rot_y":1.419978619,"rot_z":-1.133531332}
mqtt.js:5 s1: {"acc_x":3.031059265,"acc_y":1.007958889,"acc_z":10.3261919,"rot_x":-0.200379789,"rot_y":0.717583418,"rot_z":-0.949405789}
mqtt.js:5 s1: {"acc_x":2.252943754,"acc_y":0.775721371,"acc_z":10.24957752,"rot_x":-0.048229709,"rot_y":0.580088794,"rot_z":-0.604070425}
mqtt.js:5 s1: {"acc_x":1.853112102,"acc_y":0.871489406,"acc_z":10.68532181,"rot_x":-0.077007659,"rot_y":0.765280247,"rot_z":-0.62432158}
mqtt.js:5 s1: {"acc_x":1.48679924,"acc_y":1.015141487,"acc_z":10.14423275,"rot_x":-0.176398173,"rot_y":0.025047474,"rot_z":-0.073277183}
mqtt.js:5 s1: {"acc_x":1.268926859,"acc_y":1.443703651,"acc_z":9.449913979,"rot_x":0.177197546,"rot_y":-0.536388993,"rot_z":0.186790213}
mqtt.js:5 s1: {"acc_x":1.510741234,"acc_y":1.355118155,"acc_z":8.971074104,"rot_x":0.473770291,"rot_y":-0.481497705,"rot_z":0.516404271}
mqtt.js:5 s1: {"acc_x":1.297657371,"acc_y":0.955286503,"acc_z":9.35654068,"rot_x":0.62645334,"rot_y":-0.286180705,"rot_z":0.457249612}
mqtt.js:5 s1: {"acc_x":2.274491549,"acc_y":1.297657371,"acc_z":8.927978516,"rot_x":0.415415019,"rot_y":0.22542727,"rot_z":0.620058179}
mqtt.js:5 s1: {"acc_x":2.437297344,"acc_y":1.89620769,"acc_z":9.418789864,"rot_x":0.953402758,"rot_y":0.121773355,"rot_z":0.793525279}
mqtt.js:5 s1: {"acc_x":1.889025092,"acc_y":2.341529369,"acc_z":10.66377449,"rot_x":0.116444103,"rot_y":-0.081004597,"rot_z":0.087133229}
mqtt.js:5 s1: {"acc_x":2.549824715,"acc_y":2.504334927,"acc_z":10.0412817,"rot_x":-0.771941781,"rot_y":-0.693068922,"rot_z":-0.322419584}
mqtt.js:5 s1: {"acc_x":2.679111719,"acc_y":2.755726099,"acc_z":8.705317497,"rot_x":0.133764163,"rot_y":-0.251807034,"rot_z":0.191320062}
mqtt.js:5 s1: {"acc_x":2.382230759,"acc_y":2.880224705,"acc_z":7.625532627,"rot_x":0.888385952,"rot_y":0.56410104,"rot_z":0.873464048}
mqtt.js:5 s1: {"acc_x":1.905784607,"acc_y":2.990357876,"acc_z":8.769960403,"rot_x":0.779402792,"rot_y":1.478600383,"rot_z":0.506278694}
mqtt.js:5 s1: {"acc_x":2.33913517,"acc_y":4.335899353,"acc_z":9.10036087,"rot_x":0.881191373,"rot_y":1.111947894,"rot_z":-0.035173047}
mqtt.js:5 s1: {"acc_x":2.516305923,"acc_y":4.661510944,"acc_z":9.232041359,"rot_x":1.311794877,"rot_y":0.202777937,"rot_z":0.270459414}
mqtt.js:5 s1: {"acc_x":2.075772762,"acc_y":4.486733913,"acc_z":8.863334656,"rot_x":0.848683,"rot_y":-0.658162296,"rot_z":0.361056656}
mqtt.js:5 s1: {"acc_x":2.298433542,"acc_y":4.441244125,"acc_z":9.155426979,"rot_x":-0.38024193,"rot_y":-0.179862171,"rot_z":0.572627902}
mqtt.js:5 s1: {"acc_x":3.167528868,"acc_y":4.276044369,"acc_z":9.18894577,"rot_x":-1.122606397,"rot_y":-0.296306252,"rot_z":0.998434901}
mqtt.js:5 s1: {"acc_x":3.883395195,"acc_y":3.797203779,"acc_z":9.153033257,"rot_x":-1.038670778,"rot_y":-0.159078106,"rot_z":0.810845315}
mqtt.js:5 s1: {"acc_x":3.960009575,"acc_y":3.955221176,"acc_z":9.469067574,"rot_x":0.251540571,"rot_y":0.020784073,"rot_z":0.879326165}
mqtt.js:5 s1: {"acc_x":3.622427225,"acc_y":3.787626982,"acc_z":9.485827446,"rot_x":1.059454799,"rot_y":0.330946386,"rot_z":0.543583453}
mqtt.js:5 s1: {"acc_x":2.770091295,"acc_y":3.892971992,"acc_z":9.057265282,"rot_x":1.210805535,"rot_y":1.233454823,"rot_z":0.346667677}
mqtt.js:5 s1: {"acc_x":1.874659896,"acc_y":4.675876141,"acc_z":8.896853447,"rot_x":1.60703516,"rot_y":0.958732009,"rot_z":0.4103522}
mqtt.js:5 s1: {"acc_x":0.995987892,"acc_y":5.27682066,"acc_z":7.390900612,"rot_x":1.083436489,"rot_y":0.148153126,"rot_z":0.989375174}
